သမ္မတ,စတင်ချိန်,ပြီးဆုံးချိန်,နှစ်ဖြင့်,လဖြင့်,ရက်ဖြင့်
စဝ်ရွှေသိုက်,1948-01-04,1952-03-12,4.19,50.28,1529
ဒေါက်တာ ဘဦး,1952-03-13,1957-03-12,5,60,1825
မန်းဝင်းမောင်,1957-03-13,1962-03-02,4.97,59.64,1815
နေဝင်း,1974-03-02,1981-11-09,7.7,92.4,2809
စန်းယု,1981-11-09,1988-07-25,6.71,80.52,2450
စိန်လွင်,1988-07-27,1988-08-12,0.04,0.48,16
အေးကို,1988-08-12,1988-08-19,0.02,0.24,7
ဒေါက်တာ မောင်မောင်,1988-08-19,1988-09-18,0.08,0.96,30
သိန်းစိန်,2011-03-30,2016-03-30,5.01,60.12,1827
ထင်ကျော်,2016-03-30,2018-03-21,1.98,23.76,721
ဝင်းမြင့်,2018-03-30,present,2.76,33.12,1008
